2018-04-09 21:10:58,280 INFO = Issue Orders phase begins
2018-04-09 21:31:54,056 INFO Team.RED PieceType.GENERATOR was built on (2, 7). 
2018-04-09 21:31:54,056 INFO Team.RED PieceType.GENERATOR was built on (2, 7). 
2018-04-09 21:31:55,295 INFO Team.RED PieceType.BARRACKS was built on (3, 8). 
2018-04-09 21:31:55,295 INFO Team.RED PieceType.BARRACKS was built on (3, 8). 
2018-04-09 21:31:58,605 INFO Team.BLUE PieceType.BARRACKS was built on (18, 1). 
2018-04-09 21:31:58,605 INFO Team.BLUE PieceType.BARRACKS was built on (18, 1). 
2018-04-09 21:32:04,290 INFO Team.BLUE PieceType.COLONIST was built on (19, 0). 
2018-04-09 21:32:04,290 INFO Team.BLUE PieceType.COLONIST was built on (19, 0). 
2018-04-09 21:32:07,198 INFO Team.RED PieceType.COLONIST was built on (2, 9). 
2018-04-09 21:32:07,198 INFO Team.RED PieceType.COLONIST was built on (2, 9). 
2018-04-09 21:36:24,875 INFO = Issue Orders phase begins
2018-04-09 21:36:24,875 INFO = Issue Orders phase begins
2018-04-09 21:36:24,875 INFO = Issue Orders phase begins
2018-04-09 21:42:40,291 INFO Team.RED PieceType.BASE was built on (20, 7). 
2018-04-09 21:42:40,291 INFO Team.RED PieceType.BASE was built on (20, 7). 
2018-04-09 21:42:40,291 INFO Team.RED PieceType.BASE was built on (20, 7). 
2018-04-09 21:42:46,189 INFO Team.BLUE PieceType.BASE was built on (3, 7). 
2018-04-09 21:42:46,189 INFO Team.BLUE PieceType.BASE was built on (3, 7). 
2018-04-09 21:42:46,189 INFO Team.BLUE PieceType.BASE was built on (3, 7). 
2018-04-09 21:42:51,029 INFO Team.BLUE PieceType.GENERATOR was built on (4, 7). 
2018-04-09 21:42:51,029 INFO Team.BLUE PieceType.GENERATOR was built on (4, 7). 
2018-04-09 21:42:51,029 INFO Team.BLUE PieceType.GENERATOR was built on (4, 7). 
2018-04-09 21:42:53,601 INFO Team.RED PieceType.GENERATOR was built on (19, 7). 
2018-04-09 21:42:53,601 INFO Team.RED PieceType.GENERATOR was built on (19, 7). 
2018-04-09 21:42:53,601 INFO Team.RED PieceType.GENERATOR was built on (19, 7). 
2018-04-09 21:42:54,251 INFO Team.RED PieceType.GENERATOR was built on (23, 9). 
2018-04-09 21:42:54,251 INFO Team.RED PieceType.GENERATOR was built on (23, 9). 
2018-04-09 21:42:54,251 INFO Team.RED PieceType.GENERATOR was built on (23, 9). 
2018-04-09 21:42:56,130 INFO Team.BLUE PieceType.GENERATOR was built on (0, 9). 
2018-04-09 21:42:56,130 INFO Team.BLUE PieceType.GENERATOR was built on (0, 9). 
2018-04-09 21:42:56,130 INFO Team.BLUE PieceType.GENERATOR was built on (0, 9). 
2018-04-09 21:43:06,112 INFO Team.BLUE PieceType.TOWER was built on (2, 2). 
2018-04-09 21:43:06,112 INFO Team.BLUE PieceType.TOWER was built on (2, 2). 
2018-04-09 21:43:06,112 INFO Team.BLUE PieceType.TOWER was built on (2, 2). 
2018-04-09 21:43:09,612 INFO Team.BLUE PieceType.TOWER was built on (16, 8). 
2018-04-09 21:43:09,612 INFO Team.BLUE PieceType.TOWER was built on (16, 8). 
2018-04-09 21:43:09,612 INFO Team.BLUE PieceType.TOWER was built on (16, 8). 
2018-04-09 21:43:41,339 INFO Team.BLUE PieceType.COLONIST was built on (7, 5). 
2018-04-09 21:43:41,339 INFO Team.BLUE PieceType.COLONIST was built on (7, 5). 
2018-04-09 21:43:41,339 INFO Team.BLUE PieceType.COLONIST was built on (7, 5). 
2018-04-09 21:43:46,118 INFO Team.RED PieceType.COLONIST was built on (16, 5). 
2018-04-09 21:43:46,118 INFO Team.RED PieceType.COLONIST was built on (16, 5). 
2018-04-09 21:43:46,118 INFO Team.RED PieceType.COLONIST was built on (16, 5). 
2018-04-09 21:43:49,414 INFO Team.RED PieceType.TROOPER was built on (15, 6). 
2018-04-09 21:43:49,414 INFO Team.RED PieceType.TROOPER was built on (15, 6). 
2018-04-09 21:43:49,414 INFO Team.RED PieceType.TROOPER was built on (15, 6). 
2018-04-09 21:43:50,967 INFO Team.BLUE PieceType.TROOPER was built on (8, 6). 
2018-04-09 21:43:50,967 INFO Team.BLUE PieceType.TROOPER was built on (8, 6). 
2018-04-09 21:43:50,967 INFO Team.BLUE PieceType.TROOPER was built on (8, 6). 
